mt_Mnodea7mG_|||Edges, vertices, and faces|||Identify and describe properties of 3-D shapes including the number of edges, vertices, and faces|||Count the edges, vertices, and faces of common 3-D shapes | Use the terms edge, vertex (vertices), and face correctly | Describe a 3-D shape by its properties (e.g. a cube has 6 faces, 12 edges, 8 vertices)|||Can {{name}} count the faces, edges, and vertices of a 3-D shape like a cube or triangular prism?
mt_3S10OOGPqu|||What Is an Angle?|||Understand that an angle is a geometric shape formed by two rays sharing a common endpoint (vertex); recognise angles in real-life contexts and 2-D shapes|||Identify the vertex and arms of an angle in a diagram | Find examples of angles in the classroom (e.g. open door, clock hands) | Explain why two rays meeting at a point form an angle|||If you draw two lines starting from the same point on paper, can {{name}} tell you that the space between them is an angle — and point to the vertex where they meet?
mt_hdrMoiTgqu|||2-D shapes (age 10+)|||Draw 2-D shapes using given dimensions and angles, using a ruler and protractor accurately|||Draw a triangle with sides 5 cm, 7 cm and an included angle of 60° | Construct a rectangle with given length and width using a ruler and set square | Draw a regular pentagon given the side length and interior angle|||If you ask {{name}} to draw a triangle with sides of 5 cm and 7 cm with a 40° angle between them, can they use a ruler and protractor to draw it accurately?
mt_REwgr0d_ss|||3-D shapes (age 10+)|||Recognise, describe, and build simple 3-D shapes, including making nets|||Identify which net will fold into a given 3-D shape | Construct the net of a triangular prism and fold it to verify | Describe a 3-D shape by naming its faces, edges, and vertices|||If {{name}} is given a flat cross-shaped piece of card (a net), can they predict what 3-D shape it will make when folded up — and then fold it to check?
mt_cdMlC7EpTJ|||Angles in triangles (age 10+)|||Find unknown angles in triangles, quadrilaterals, and regular polygons using angle sum properties|||Find a missing angle in a triangle given two angles (using angle sum = 180°) | Calculate a missing angle in a quadrilateral (angle sum = 360°) | Calculate the interior angle of a regular hexagon from the angle sum formula|||If {{name}} knows that angles in a triangle always add up to 180°, and two angles in a triangle are 55° and 70°, can they work out the third angle without measuring it?
mt_liIW336odh|||Classifying shapes by properties|||Compare and classify geometric shapes based on their properties and sizes; understand that attributes belonging to a category also belong to all subcategories; classify two-dimensional figures in a hierarchy based on properties|||Explain why all squares are rectangles but not all rectangles are squares | Place quadrilaterals in a hierarchy diagram showing subset relationships | Identify properties shared by all parallelograms and explain why rhombuses and rectangles are special cases|||If someone asks {{name}} "is a square also a rectangle?", can they explain why the answer is yes — because a square has all the properties of a rectangle plus equal sides?
mt_R4AY0LKxfl|||Coordinates (age 10+)|||Describe positions on the full coordinate grid (all four quadrants); use coordinates with negative values|||Plot points with negative coordinates such as (−3, 4) and (2, −5) on a four-quadrant grid | Identify the quadrant in which a given point lies | Describe the position of a shape using coordinates in all four quadrants|||If {{name}} is playing a game where ships can be at negative coordinates too, can they correctly plot and read positions like (−3, 2) or (1, −4) on a grid?
mt_oDlduFnemk|||Numbers on a number line|||Understand a coordinate system defined by two perpendicular number lines (axes) with an origin at (0,0); know that an ordered pair (x, y) specifies a unique point where the first number gives horizontal distance and the second gives vertical distance from the origin|||Identify the x-axis, y-axis, and origin on a coordinate grid | Explain that (3, 5) means go 3 along the x-axis and 5 up the y-axis | Distinguish (2, 4) from (4, 2) by explaining each coordinate's meaning|||If {{name}} looks at a map with a grid and you describe a location as "3 across and 5 up from the origin", can they find the exact point — and explain what each of the two numbers tells you?
mt_xq3YHZ2zeR|||Parts of a circle|||Illustrate and name parts of circles, including radius, diameter, and circumference; know that the diameter is twice the radius|||Label the radius, diameter, and circumference on a circle diagram | Calculate the diameter given a radius of 4.5 cm (diameter = 9 cm) | Explain the relationship between radius and diameter in their own words|||If you give {{name}} a round plate and a ruler, can they measure the diameter — and explain how the radius compares to the diameter?
mt_snlqRCiA1R|||Plotting points in the first quadrant|||Plot and read ordered pairs in the first quadrant of the coordinate plane; represent real-world and mathematical problems by graphing points and interpreting coordinate values in context|||Plot the point (4, 7) accurately on a first-quadrant grid | Graph a set of data pairs (e.g. time vs distance) as points on the coordinate plane | Read coordinates of a plotted point and explain what they represent in a given scenario|||If you tell {{name}} a car journey passes through grid points (2, 3), (5, 7), and (8, 4) on a map, can they plot those points and describe what the journey looks like?
mt_lxaM6iVpdr|||Translating and reflecting shapes|||Draw and translate simple shapes on the coordinate plane; reflect shapes in the axes|||Translate a triangle 3 units right and 2 units down on a coordinate grid and state the new coordinates | Reflect a shape in the x-axis and list the coordinates of the reflected vertices | Explain how translation changes coordinates (add/subtract) while reflection changes the sign of one coordinate|||If {{name}} draws a triangle at coordinates (1, 2), (3, 2), and (2, 4) on a grid, can they then reflect it across the x-axis and tell you the new coordinates of each corner?
mt_QDTO3GAgcq|||Understanding angles (age 10+)|||Recognise angles where they meet at a point, are on a straight line, or are vertically opposite; find missing angles using these properties|||Find a missing angle at a point given the other angles (total 360°) | Use the straight-line property (angles sum to 180°) to find an unknown angle | Identify vertically opposite angles and use the property that they are equal to find unknowns|||If two straight lines cross each other, can {{name}} tell you which pairs of angles are equal (vertically opposite) — and find a missing angle if you give them one of the others?
mt_nRksLqt-iR|||3-D shapes (age 11+)|||Use the properties of faces, surfaces, edges, and vertices of 3-D shapes (cubes, cuboids, prisms, cylinders, pyramids, cones, and spheres) to solve problems, including visualising cross-sections|||Count and describe the faces, edges, and vertices of a triangular prism and a square-based pyramid | Describe the 2-D cross-section produced by slicing a cylinder horizontally or a cone vertically | Use properties of 3-D shapes to determine whether a given net will fold into a specified solid|||If {{name}} slices a cylinder straight across the middle like cutting a tin of beans in half, can they describe the shape of the cut surface? What about slicing at an angle?
mt_J03RFlVdas|||Angle sums in triangles and polygons|||Derive and use the angle sum in a triangle (180°), use it to deduce the angle sum in any polygon ((n−2) × 180°), and calculate interior and exterior angles of regular polygons|||Calculate a missing angle in a triangle by subtracting the known angles from 180° | Find the sum of interior angles in a hexagon by dividing it into triangles | Calculate each interior and exterior angle of a regular polygon given the number of sides|||If {{name}} knows two angles of a triangle are 50° and 70°, can they work out the third? And can they figure out the angles inside a regular pentagon?
mt_tAJH5BrpOx|||Angles in triangles (age 11+)|||Derive and apply formulae for the area of triangles, parallelograms, and trapezia, and for the volume of cuboids and other prisms (including cylinders), connecting each formula to its geometric reasoning|||Calculate the area of a trapezium using A = ½(a + b) × h and explain why the formula works | Find the volume of a triangular prism by calculating cross-sectional area × length | Derive the formula for the volume of a cylinder as π × r² × h by reasoning from the prism formula|||If {{name}} needs to tile a triangular section of a patio with a base of 4 m and height of 3 m, can they work out the area to know how many tiles to buy?
mt_K0Y15w48SY|||Coordinate Transformations|||Identify properties of translations, rotations, and reflections; describe and perform these transformations on given figures, and understand that the image is congruent to the original|||Reflect a shape in a given mirror line (including diagonal lines) and state the coordinates of the image | Rotate a shape about a given centre by 90° or 180° and describe the result | Translate a shape by a given vector and verify that lengths and angles are preserved|||If {{name}} is asked to rotate a triangle 90° clockwise around a fixed point, can they work out where each corner ends up — and confirm the triangle is still the same size and shape?
mt_Jf8xcX4UTq|||Measuring angles (age 11+)|||Draw and measure line segments and angles accurately using ruler and protractor, and interpret scale drawings to extract real measurements|||Draw a triangle accurately given two sides and the included angle (SAS) | Measure angles in a geometric figure to the nearest degree using a protractor | Read a scale drawing to determine actual lengths, explaining the scale used|||If {{name}} is given an architect's floor plan where 1 cm represents 2 m, can they measure a room on the plan and work out its real-world dimensions?
mt_DNYQLahbfa|||Properties of triangles and quadrilaterals|||Derive and illustrate properties of triangles, quadrilaterals, and circles using appropriate language, including interior angles, diagonals, symmetry, and relationships between side lengths|||List and verify properties of a parallelogram (opposite sides parallel/equal, opposite angles equal, diagonals bisect each other) | Explain why a square is a special case of both a rectangle and a rhombus | Derive the relationship between the radius, diameter, and circumference of a circle|||If you ask {{name}} why the diagonals of a rectangle are always equal in length, can they explain it using the properties of the shape — rather than just measuring to check?
mt_WtIFJSCQIT|||Types of angles (age 11+)|||Use conventional geometric terms and notation to describe, sketch, and draw points, lines, parallel and perpendicular lines, right angles, regular polygons, and reflectively/rotationally symmetric polygons|||Use correct notation for line segments (AB), angles (∠ABC), and parallel lines (AB ∥ CD) | Sketch a regular hexagon and describe its rotational and reflective symmetry | Identify and label perpendicular and parallel lines in a given figure using standard symbols|||If you ask {{name}} to describe a triangle using proper geometry notation — naming its angles and sides with letters — can they do it clearly enough for someone else to draw it?
mt_tedML_iu4Y|||Understanding angles (age 11+)|||Apply the properties of angles at a point (360°), on a straight line (180°), and vertically opposite angles to find unknown angles in multi-step problems|||Find a missing angle using the fact that angles on a straight line sum to 180° | Use vertically opposite angles are equal to set up and solve an equation for an unknown | Combine multiple angle facts in a single diagram to find several missing angles step by step|||If {{name}} is given a diagram with several angles marked at crossing lines and some unknown, can they use the rules about straight lines and crossing lines to find all the missing angles step by step?
mt_167X6Ax8P7|||Angles in triangles (age 12+)|||Know and use the criteria for triangle congruence (SSS, SAS, ASA, RHS), use standard labelling conventions for sides and angles of triangle ABC, and determine whether two triangles are congruent|||State which congruence criterion (SSS, SAS, ASA, or RHS) applies to a given pair of triangles | Use the notation △ABC ≅ △DEF and match corresponding sides and angles | Determine whether given measurements produce a unique triangle, more than one, or none|||If {{name}} is shown two triangles where all three sides of one match all three sides of the other, can they explain why those triangles must be identical in shape and size?
mt_H_pNJ3ZI_S|||Angles with parallel lines|||Understand and use the relationship between parallel lines cut by a transversal: corresponding angles, alternate interior angles, and co-interior (same-side interior) angles; use these to find unknown angles|||Identify alternate, corresponding, and co-interior angle pairs in a diagram with parallel lines | Explain why alternate angles are equal using the concept of translation along the transversal | Find missing angles in a parallel-line diagram using a combination of angle relationships|||If {{name}} sees a Z-shape or F-shape formed by two parallel lines and a crossing line in a diagram, can they identify the equal angles and explain why they’re equal?
mt_svFa6_mjO_|||Circles: Circumference & Area|||Calculate the circumference and area of circles using the formulae C = πd (or 2πr) and A = πr², and solve problems involving perimeters and areas of composite shapes that include circular parts|||Calculate the circumference and area of a circle given its radius or diameter | Find the perimeter or area of a composite shape made from rectangles and semicircles | Explain the relationship between π, diameter, and circumference informally|||If {{name}} wants to know how far a bicycle wheel travels in one full rotation, can they use the diameter of the wheel and π (pi) to work out the circumference?
mt_y-BuQAfw4B|||Coordinates (age 12+)|||Understand similarity as a relationship where one shape is an enlargement of another; construct similar shapes by enlargement with a given scale factor and centre, with and without coordinate grids|||Enlarge a shape by a given scale factor from a specified centre of enlargement | Determine the scale factor between two similar shapes by comparing corresponding sides | Explain why corresponding angles in similar shapes are equal while sides are in proportion|||If {{name}} wants to enlarge a photo so it's three times bigger, can they work out the new dimensions — and explain that the shape stays the same but all lengths increase by the same factor?
mt_ZrsqGVG-Wt|||Understanding angles (age 12+)|||Use ruler and compasses to perform standard constructions: perpendicular bisector of a line segment, perpendicular to a line from or at a given point, and bisecting an angle|||Construct the perpendicular bisector of a line segment using compasses and a straight edge | Construct an angle bisector and verify by measuring both halves | Construct a perpendicular from a point to a line using compasses only|||If {{name}} has only a ruler and a pair of compasses, can they construct a line that cuts another line segment exactly in half at a right angle — without using a protractor?
mt_KB_Czd7RQH|||Trigonometry basics|||Use the trigonometric ratios sin, cos, and tan in right-angled triangles to find unknown sides and angles, including setting up the correct ratio for a given problem|||Identify which trigonometric ratio to use (SOH CAH TOA) based on the known and unknown sides | Calculate an unknown side using sin, cos, or tan and a known angle | Find an unknown angle using the inverse trigonometric function (e.g. tan⁻¹)|||If {{name}} knows a ladder is 5 metres long and leans against a wall at 70° to the ground, can they use trigonometry to work out how high up the wall it reaches?
mt_1VmTUxBrNd|||Types of angles (age 13+)|||Apply Pythagoras’ Theorem (a² + b² = c²) to calculate unknown side lengths in right-angled triangles, including in real-world and coordinate-geometry contexts|||Calculate the hypotenuse of a right-angled triangle given the two shorter sides | Find a shorter side given the hypotenuse and the other short side | Use Pythagoras’ Theorem to find the distance between two points on a coordinate grid|||If {{name}} wants to check whether a shelf bracket makes a perfect right angle and the sides measure 30 cm, 40 cm, and 50 cm, can they use Pythagoras to verify?
mt_lMz9nAs7VO|||Early Maths Vocabulary|||Use mathematical words carefully when counting, comparing, and describing shapes and positions|||Use 'more than', 'fewer than', and 'the same as' correctly when comparing groups | Name shapes correctly and describe their features using words like 'sides' and 'corners' | Use positional words (above, below, next to) precisely to describe where objects are|||When {{name}} talks about maths — like comparing numbers or describing shapes — do they use the right words, like "larger than", "fewer", "beside", or "corner"?
mt_RFeVlw0QvX|||Finding efficient methods|||Notice when a calculation or pattern repeats and use this to count more efficiently or predict results|||Notice that skip counting by 2s follows a repeating odd/even pattern | Recognise that adding 1 to any number always gives the next counting number | Use a repeated pattern (e.g. +10 on a hundred chart always moves down one row) to predict answers|||When {{name}} is counting or doing repeated additions, have they started to notice the pattern — like "5, 10, 15, 20…" — and used it to predict the next number without counting one by one?
mt_20WfHhnL39|||Hands-On Problem Solving|||Select and use familiar tools (concrete objects, fingers, ten frames) to help solve a mathematical problem|||Choose cubes, counters, or fingers to help solve an addition or subtraction problem | Use a ten frame to organise objects for counting or comparing | Explain why a particular tool (e.g. cubes rather than fingers) was chosen for a given problem|||When {{name}} is working out a maths problem, do they reach for helpful tools — like using their fingers, counters, or a number line — to support their thinking?
mt_WkKkb7W9Qd|||Making Sense of Problems|||Make sense of a problem by identifying what is being asked, choosing concrete objects or pictures to represent the situation, and explaining a pathway to the solution|||When given a word problem within 10, explain what the problem is asking before attempting to solve | Choose objects, fingers, or drawings to represent a problem situation | After finding an answer, check it makes sense (e.g. re-count objects to verify a total)|||When {{name}} gets a maths problem they don't immediately know how to solve, do they stop and think about what the question is asking — maybe drawing a picture — before diving in?
mt_IM1G_7QzTa|||Real-World to Maths Connections|||Move between a real-world situation and a mathematical representation using concrete objects, drawings, diagrams, tables, number sentences, or bar models|||Given a story about combining groups, represent it with counters or cubes and find the total | Given a set of objects, tell a simple addition or subtraction story to match | Connect a physical action (putting together, taking away) to the matching operation|||If {{name}} is working out a real-life maths problem — like sharing 8 sweets between 2 people — can they use objects or draw a picture to show what's happening before writing any numbers?
mt_nyK25mNOeR|||Showing Your Working|||Show and tell how a mathematical answer was found using objects, drawings, and spoken words|||Use objects or drawings to demonstrate how an addition or subtraction was solved | Respond to 'how do you know?' by pointing to objects or a drawing and describing what was done | Listen to a peer's explanation and say whether they agree or disagree|||After {{name}} solves a maths problem, can they explain how they got their answer — using counters, a drawing, or words — rather than just writing down the final number?
mt_uG2mjHFOlO|||Spotting mathematical patterns|||Notice simple patterns and structures: spot that changing order doesn't change the total, and recognise how numbers relate to each other|||Notice that 3 + 2 gives the same answer as 2 + 3 (early commutativity) | Recognise that teen numbers are 'ten and some more' (e.g. 14 is 10 and 4) | Spot a pattern in a sequence of objects or numbers and predict what comes next|||Has {{name}} noticed that adding numbers in a different order gives the same answer — like 3 + 5 and 5 + 3 both equal 8 — and can they explain why that makes sense?
